,id,statement_code,category_code,statement_content,direction_code,parent_statement_code,attributes,statement_level,serial_number,create_user,create_time,modify_user,modify_time,del_stat,version_no
0,392,1096110230001003,1095110200000008,竞争对手,109511023000000b,109511023000000b,,1,999,zstx,2023-11-28 11:50:24,system_user,2024-01-21 14:26:09,0,0
1,393,109611023000200c,1095110200000008,纠纷对象,109511023000000b,109511023000000b,,1,999,zstx,2023-11-28 11:50:47,zstx,2024-01-21 14:26:09,0,0
2,398,1096110430001009,1095110400000001,合作伙伴,1095110430000004,1095110430000004,,1,999,zstx,2023-11-28 11:51:43,system_user,2024-01-21 14:26:09,0,0
3,401,1096110630001002,1095110600000007,直系血亲,109511063000000a,109511063000000a,,1,999,zstx,2023-11-28 11:52:14,system_user,2024-04-29 08:30:00,1,0
4,402,109611063000200b,1095110600000007,旁系血亲,109511063000000a,109511063000000a,,1,999,zstx,2023-11-28 11:52:23,system_user,2024-04-29 08:30:00,1,0
5,416,1096110730001005,109511070000000a,夫妻,1095110730000000,1095110730000000,,1,999,zstx,2023-11-28 11:54:48,system_user,2024-04-29 08:30:00,1,0
6,417,1096110730002001,109511070000000a,姻亲,1095110730000000,1095110730000000,,1,999,zstx,2023-11-28 11:54:58,system_user,2024-04-29 08:30:00,1,0
7,418,1096110730001015,109511070000000a,丈夫妻子,1095110730000000,1096110730001005,,2,999,zstx,2023-11-28 11:55:21,system_user,2024-04-29 08:30:00,1,0
8,419,1096110730001025,109511070000000a,前夫前妻,1095110730000000,1096110730001005,,2,999,zstx,2023-11-28 11:55:30,system_user,2024-04-29 08:30:00,1,0
9,420,1096110730002011,109511070000000a,岳父岳母,1095110730000000,1096110730002001,,2,999,zstx,2023-11-28 11:55:37,system_user,2024-04-29 08:30:00,1,0
10,421,1096110730002021,109511070000000a,家翁家婆,1095110730000000,1096110730002001,,2,999,zstx,2023-11-28 11:55:58,system_user,2024-04-29 08:30:00,1,0
11,422,1096110730002031,109511070000000a,女婿儿媳,1095110730000000,1096110730002001,,2,999,zstx,2023-11-28 11:56:06,system_user,2024-04-29 08:30:00,1,0
12,423,1096110730002041,109511070000000a,兄嫂弟妹,1095110730000000,1096110730002001,,2,999,zstx,2023-11-28 11:56:16,system_user,2024-04-29 08:30:00,1,0
13,424,1096110730002051,109511070000000a,姐夫妹夫,1095110730000000,1096110730002001,,2,999,zstx,2023-11-28 11:56:25,system_user,2024-04-29 08:30:00,1,0
14,425,1096110730002061,109511070000000a,继父继母,1095110730000000,1096110730002001,,2,999,zstx,2023-11-28 11:56:32,system_user,2024-04-29 08:30:00,1,0
