"id","direction_code","category_code","reversed","directed","origin","destination","reverse_expression","serial_number","create_user","create_time","modify_user","modify_time","del_stat","version_no","origin_name","generate_name","old_expression","destination_name"
"142","1095110110000006","1095110100000005","0","1","105101000000000b","105101000000000b","人服务人","999","test_user","2023-08-10 14:56:19","guochengjie","2025-02-20 18:33:03","0","0","人","人服务人","人服务人","人"
"143","1095110120000007","1095110100000005","1","1","105101000000000b","105101000000000b","人被人服务","999","test_user","2023-08-10 14:56:31","admin","2025-02-28 14:15:04","0","0","人","人被人服务","人被服务","人"
"144","109511023000000b","1095110200000008","0","0","105101000000000b","105101000000000b","人人冲突","999","test_user","2023-08-10 14:57:03","admin","2024-06-14 09:02:54","0","0","人","人人冲突","人人冲突","人"
"145","109511031000000c","109511030000000b","0","1","105101000000000b","105101000000000b","人管理人","999","test_user","2023-08-10 14:57:15","admin","2024-06-14 09:02:54","0","0","人","人管理人","人管理人","人"
"146","1095110320000000","109511030000000b","1","1","105101000000000b","105101000000000b","人被管理","999","test_user","2023-08-10 14:57:29","admin","2024-06-14 09:02:54","0","0","人","人被人管理","人被管理","人"
"147","1095110430000004","1095110400000001","0","0","105101000000000b","105101000000000b","人人协作","999","test_user","2023-08-10 14:58:37","admin","2024-06-14 09:02:54","0","0","人","人人协作","人人协作","人"
"148","1095110510000005","1095110500000004","0","1","105101000000000b","105101000000000b","人指导人","999","test_user","2023-08-10 14:58:54","admin","2024-06-14 09:02:54","0","0","人","人指导人","人指导人","人"
"149","1095110520000006","1095110500000004","1","1","105101000000000b","105101000000000b","人被指导","999","test_user","2023-08-10 14:59:05","admin","2024-06-14 09:02:54","0","0","人","人被人指导","人被指导","人"
"150","109511063000000a","1095110600000007","0","0","105101000000000b","105101000000000b","人人血缘","999","test_user","2023-08-10 14:59:24","admin","2024-06-14 09:02:54","1","0","人","人人血缘","人人血缘","人"
"151","1095110730000000","109511070000000a","0","0","105101000000000b","105101000000000b","人人婚姻","999","test_user","2023-08-10 14:59:51","zstx","2024-06-14 09:02:54","1","0","人","人人婚姻","人人婚姻","人"
"152","1095110810000001","1095110800000000","0","1","105101000000000b","105101000000000b","人收养人","999","test_user","2023-08-10 15:00:10","zstx","2024-06-14 09:02:54","1","0","人","人收养人","人收养人","人"
"153","1095110820000002","1095110800000000","1","1","105101000000000b","105101000000000b","人被人收养","999","test_user","2023-08-10 15:00:23","zstx","2024-06-14 09:02:54","1","0","人","人被人收养","人被人收养","人"
"154","1095120110000007","1095120100000006","0","1","105101000000000b","105102000000000c","人常驻地","999","test_user","2023-08-10 15:01:48","zstx","2024-06-14 09:02:54","0","0","人","人常驻地","人常驻地","地"
"155","109512021000000a","1095120200000009","0","1","105101000000000b","105102000000000c","人访问地","999","test_user","2023-08-10 15:02:02","zstx","2024-06-14 09:02:54","0","0","人","人访问地","人访问地","地"
"156","1095120310000000","109512030000000c","0","1","105101000000000b","105102000000000c","人途经地","999","test_user","2023-08-10 15:02:15","zstx","2024-06-14 09:02:54","0","0","人","人途经地","人途经地","地"
"157","1095120410000003","1095120400000002","0","1","105101000000000b","105102000000000c","人建设地","999","test_user","2023-08-10 15:02:38","zstx","2024-06-14 09:02:54","0","0","人","人建设地","人建设地","地"
"158","1095120510000006","1095120500000005","0","1","105101000000000b","105102000000000c","人拥有地","999","test_user","2023-08-10 15:02:46","zstx","2024-06-14 09:02:54","0","0","人","人拥有地","人拥有地","地"
"160","109512071000000c","109512070000000b","0","1","105101000000000b","105102000000000c","人管理地","999","test_user","2023-08-10 15:03:12","zstx","2024-06-14 09:02:54","0","0","人","人管理地","人管理地","地"
"161","1095120810000002","1095120800000001","0","1","105101000000000b","105102000000000c","人维护地","999","test_user","2023-08-10 15:03:22","zstx","2024-06-14 09:02:54","0","0","人","人维护地","人维护地","地"
"162","1095130110000008","1095130100000007","0","1","105101000000000b","1051030000000000","人制造事","999","test_user","2023-08-10 15:03:37","zstx","2024-06-14 09:02:54","0","0","人","人制造事","人制造事","事"
"163","109513021000000b","109513020000000a","0","1","105101000000000b","1051030000000000","人参与事","999","test_user","2023-08-10 15:04:19","zstx","2024-06-14 09:02:54","0","0","人","人参与事","人参与事","事"
