,id,property_code,property_name,property_name_cn,attributes,annotation,category_code,crowd_stat,category_type,property_type,serial_number,simplified_attribute,source_relation,source_relation_term,source_relation_attribute,source_entity_attribute,create_user,create_time,modify_user,modify_time,del_stat,version_no,identify_type
0,1,1065010000200002,user_id,编号,,,105101000000000b,0,1,1,0,0,,,,,test_user,2023-04-17 11:15:11,guochengjie,2025-03-05 18:58:14,0,0,
1,2,1065010000300005,name,姓名,,,105101000000000b,0,0,0,1,0,,,,,test_user,2023-04-17 11:15:12,qidekang,2024-12-05 21:58:03,0,0,
2,3,1065010000400008,sex,性别,男，女,,105101000000000b,0,0,0,2,0,,,,,test_user,2023-04-17 11:15:12,qidekang,2025-02-27 17:01:18,0,0,
3,4,106501000050000b,date_of_birth,出生日期,,,105101000000000b,0,0,0,4,0,,,,,system_user,2023-04-17 11:15:13,guochengjie,2024-11-06 17:03:20,0,0,
4,5,1065010000600001,nationality,国籍,,简化属性，人组织从属，组织名称,105101000000000b,0,0,0,7,1,1095150300000002,109615031000d00c,,1065050000300009,test_user,2023-04-17 11:15:14,guochengjie,2025-03-04 00:20:40,0,0,
5,6,1065010000700004,ethnicity,民族,汉族，壮族，满族，蒙古族，回族等,,105101000000000b,0,0,0,5,0,,,,,test_user,2023-04-17 11:15:14,guochengjie,2025-02-27 17:01:11,0,0,
6,7,1065010000800007,native_place,籍贯,,简化属性，人地常驻，地名称,105101000000000b,0,0,0,9,1,1095120100000006,109612011000e00c,,1065020000300006,test_user,2023-04-17 11:15:15,guochengjie,2025-03-04 00:20:46,0,0,
7,8,106501000090000a,political_status,政治面貌,共青团员，中共预备党员，中共党员，其他党派人员，群众,简化属性，人组织从属，组织名称,105101000000000b,0,0,0,12,1,1095150300000002,109615031000e008,,1065050000300009,test_user,2023-04-17 11:15:15,guochengjie,2025-03-04 00:21:19,0,0,
8,9,1065010000a00000,birthplace,出生地,,简化属性，人地常驻，地名称,105101000000000b,0,0,0,11,1,1095120100000006,109612011000800a,,1065020000300006,test_user,2023-04-17 11:15:16,guochengjie,2025-03-04 00:20:55,0,0,
9,10,1065010000b00003,body_weight,体重,,,105101000000000b,0,0,0,9,0,,,,,system_user,2023-04-17 11:15:16,qidekang,2024-11-06 17:03:20,0,0,
10,11,1065010000c00006,height,身高,,,105101000000000b,0,0,0,8,0,,,,,system_user,2023-04-17 11:15:17,qidekang,2024-11-06 17:03:20,0,0,
11,12,1065010000d00009,educational_background,学历,"初中及以下, 高中及中专, 大专, 本科, 硕士研究生, 博士研究生",,105101000000000b,0,0,0,13,0,,,,,system_user,2023-04-17 11:15:17,qidekang,2024-11-06 17:03:20,0,0,
12,13,1065010000e0000c,occupation,职业,"老师, 工程师, 医生, 会计, 律师, 警察等",,105101000000000b,0,0,0,15,0,,,,,test_user,2023-04-17 11:15:18,qidekang,2024-11-06 17:03:20,0,0,
13,14,1065010000f00002,blood_type,血型,"A, B, AB, O, 熊猫血",,105101000000000b,0,0,0,21,0,,,,,system_user,2023-04-17 11:15:19,qidekang,2024-11-06 17:03:20,0,0,
14,15,1065010001000005,major,专业,,,105101000000000b,0,0,0,14,0,,,,,system_user,2023-04-17 11:15:19,qidekang,2024-11-06 17:03:20,0,0,
15,16,1065010001100008,professional_title,职称,,,105101000000000b,0,0,0,16,0,,,,,system_user,2023-04-17 11:15:20,qidekang,2024-11-06 17:03:20,0,0,
16,17,106501000120000b,state,健康状态,,,105101000000000b,0,0,0,33,0,,,,,test_user,2023-04-17 11:15:20,qidekang,2024-11-06 17:03:20,1,0,
17,21,1065010001300001,marital_status,婚姻状况,,,105101000000000b,0,0,0,7,0,,,,,test_user,2023-04-17 11:15:22,qidekang,2025-02-27 17:42:30,0,0,
18,22,1065020000200003,region_id,序号,,,105102000000000c,0,1,1,1,0,,,,,test_user,2023-04-17 11:15:23,guochengjie,2025-03-05 18:57:08,0,0,
19,23,1065020000300006,name,名称,,,105102000000000c,0,0,0,2,0,,,,,system_user,2023-04-17 11:15:24,qidekang,2024-11-06 17:03:20,0,0,
20,24,1065020000400009,type,类型,地理类型，地貌类型等,,105102000000000c,0,0,0,3,0,,,,,test_user,2023-04-17 11:15:24,qidekang,2025-02-27 17:12:16,0,0,
21,25,106502000050000c,functionality,功能,使用性质，规划用途等,,105102000000000c,0,0,0,4,0,,,,,test_user,2023-04-17 11:15:25,qidekang,2025-02-27 17:13:52,0,0,
22,26,1065020000600002,latitude_and_longitude,经纬度,,,105102000000000c,0,0,0,13,0,,,,,admin,2023-04-17 11:15:25,qidekang,2024-11-06 17:03:20,1,0,
23,27,1065020000700005,outsourcing_boundary,外包边界,适用于面（polygon）类型的地址,,105102000000000c,0,0,0,15,0,,,,,zstx,2023-04-17 11:15:26,qidekang,2024-11-06 17:03:20,1,0,
24,28,1065020000800008,address,地址,,,105102000000000c,0,0,0,8,0,,,,,system_user,2023-04-17 11:15:26,qidekang,2024-11-06 17:03:20,0,0,
25,29,106502000090000b,long,长度,,,105102000000000c,0,0,0,999,0,,,,,test_user,2023-04-17 11:15:27,admin,2024-11-06 17:03:20,1,0,
