"id","tag_code","tag_name","parent_tag_code","type","description","visible","serial_number","create_user","create_time","modify_user","modify_time","del_stat","version_no"
"1","0","政府职能标签",NULL,"root",,"0",NULL,"system_user","2024-06-05 09:46:59","system_user","2024-06-19 08:02:35","0","0"
"1528","1001","政府办公","0","parentNode",,NULL,"0","system_user","2024-11-11 14:40:05","yanshan","2024-11-11 14:40:05","0","0"
"1529","1000001","日常工作管理","1001","terminalNode","协助政府领导处理政府日常工作，发挥统筹协调、参谋助手、督促检查、服务保障等职能作用。",NULL,NULL,"system_user","2024-11-11 14:40:05","xiexinyu","2024-11-11 14:40:05","0","0"
"1530","1000002","会议筹备","1001","terminalNode","负责政府会议的筹备、组织和服务保障工作。",NULL,NULL,"system_user","2024-11-11 14:40:05","xiexinyu","2024-11-11 14:40:05","0","0"
"1531","1000003","公文起草审核","1001","terminalNode","协助政府领导组织起草或审核以政府、政府办公厅名义印发的公文。",NULL,NULL,"system_user","2024-11-11 14:40:05","xiexinyu","2024-11-11 14:40:05","0","0"
"1532","1000004","文件审查","1001","terminalNode","研究审核政府各部门、各从属机构向政府报送的请示、报告等公文，提出拟办意见，报请政府领导批阅。",NULL,NULL,"system_user","2024-11-11 14:40:05","xiexinyu","2024-11-11 14:40:05","0","0"
"1533","1000005","文电处理","1001","terminalNode","承办国务院、国务院办公厅以及国务院各部委、各直属机构、其他省区政府和其他机构发送政府的文电。",NULL,NULL,"system_user","2024-11-11 14:40:05","xiexinyu","2024-11-11 14:40:05","0","0"
"1534","1000006","值班管理","1001","terminalNode","负责政府总值班工作，协助安排政府领导开展调研工作和参加重要政务活动。",NULL,NULL,"system_user","2024-11-11 14:40:05","xiexinyu","2024-11-11 14:40:05","0","0"
"1535","1000007","督查工作","1001","terminalNode","负责政府督查工作，督促检查党中央、国务院重大决策、重要工作部署贯彻落实情况，督办落实政府决策部署、重点工作、重要会议决定事项、重要文件以及领导指示批示和交办事项。综合协调政府部门和区政府的督促检查工作。",NULL,NULL,"system_user","2024-11-11 14:40:05","xiexinyu","2024-11-11 14:40:05","0","0"
"1536","1000008","绩效管理","1001","terminalNode","负责行政机关和区政府绩效管理、绩效考评工作。",NULL,NULL,"system_user","2024-11-11 14:40:05","xiexinyu","2024-11-11 14:40:05","0","0"
"1537","1000009","信息与舆情提供","1001","terminalNode","负责为领导提供重要信息及社会舆情。",NULL,NULL,"system_user","2024-11-11 14:40:05","xiexinyu","2024-11-11 14:40:05","0","0"
