"id","category_code","category_name","category_name_cn","category_full_name_cn","parent_category_code","level","serial_number","remarks","create_user","create_time","modify_user","modify_time","del_stat","version_no"
"1","1011000000000006","root","知识体系","知识体系",,"0","999",NULL,"test_user","2023-04-10 18:15:27","test_user","2024-01-24 00:08:29","0","0"
"2","105100000000000a","entity","实体","实体","1011000000000006","1","999",NULL,"test_user","2023-04-10 18:15:28","test_user","2024-01-24 00:08:29","0","0"
"3","109500000000000b","relation","关系","关系","1011000000000006","1","999",NULL,"test_user","2023-04-10 18:15:28","test_user","2024-01-24 00:08:29","0","0"
"4","105101000000000b","user","人","实体/人","105100000000000a","2","999",NULL,"test_user","2023-04-10 18:15:28","test_user","2024-01-24 00:08:29","0","0"
"5","105102000000000c","region","地","实体/地","105100000000000a","2","999","物和地的区别在于是否可移动（但并不一定要动）","test_user","2023-04-10 18:15:28","admin","2024-01-24 00:08:29","0","0"
"6","1051030000000000","event","事","实体/事","105100000000000a","2","999",NULL,"test_user","2023-04-10 18:15:28","test_user","2024-01-24 00:08:29","0","0"
"7","1051040000000001","object","物","实体/物","105100000000000a","2","999","物和地的区别在于是否可移动（但并不一定要动）","test_user","2023-04-10 18:15:28","admin","2024-01-24 00:08:29","0","0"
"8","1051050000000002","organization","组织","实体/组织","105100000000000a","2","999",NULL,"test_user","2023-04-10 18:15:28","test_user","2024-01-24 00:08:29","0","0"
"9","1095110000000002","user_user","人-人","关系/人-人","109500000000000b","2","999",NULL,"test_user","2023-04-10 18:15:28","test_user","2024-01-24 00:08:29","0","0"
"10","1095120000000003","user_region","人-地","关系/人-地","109500000000000b","2","999",NULL,"test_user","2023-04-10 18:15:28","test_user","2024-01-24 00:08:29","0","0"
"11","1095130000000004","user_event","人-事","关系/人-事","109500000000000b","2","999",NULL,"test_user","2023-04-10 18:15:28","test_user","2024-01-24 00:08:29","0","0"
"12","1095140000000005","user_object","人-物","关系/人-物","109500000000000b","2","999",NULL,"test_user","2023-04-10 18:15:28","test_user","2024-01-24 00:08:29","0","0"
"13","1095150000000006","user_organization","人-组织","关系/人-组织","109500000000000b","2","999",NULL,"test_user","2023-04-10 18:15:28","test_user","2024-01-24 00:08:29","0","0"
